feature_name,importance_mean,importance_std,feature_group
disc_adjacent_utterance_similarity_std,0.004631578947368498,0.0015754346891679637,disc
graph_average_degree,0.003368421052631665,0.0010313641022244883,graph
disc_repeated_trigram_ratio,0.003368421052631665,0.001684210526315777,disc
disc_repeated_bigram_ratio,0.0029473684210527206,0.0016842105263157768,disc
syn_utterance_count,0.0029473684210526985,0.0021469555846706607,syn
len_utterance_count,0.0029473684210526764,0.002526315789473717,len
syn_cconj_ratio,0.0025263157894737766,0.0008421052631578886,syn
syn_determiner_noun_ratio,0.0025263157894737766,0.0008421052631578885,syn
pause_speaking_to_total_ratio,0.0025263157894737766,0.0008421052631578885,pause
lex_type_token_ratio,0.002526315789473754,0.001575434689167999,lex
syn_adv_ratio,0.002526315789473754,0.0015754346891679993,syn
syn_open_closed_ratio,0.002526315789473754,0.0015754346891679993,syn
lex_std_token_length,0.002526315789473732,0.003622031691386386,lex
pause_median_duration,0.002105263157894832,0.0,pause
disc_adjacent_utterance_similarity_mean,0.002105263157894788,0.0018830046126314375,disc
lex_hapax_ratio,0.002105263157894788,0.0018830046126314375,lex
syn_subordination_ratio,0.0016842105263158657,0.000842105263157933,syn
syn_noun_verb_ratio,0.0016842105263158657,0.000842105263157933,syn
disc_immediate_repetition_count,0.0016842105263158657,0.000842105263157933,disc
syn_sconj_ratio,0.0016842105263158657,0.000842105263157933,syn
syn_determiner_ratio,0.0016842105263158436,0.0024551376399348946,syn
syn_aux_verb_ratio,0.0012631578947368994,0.0010313641022245427,syn
syn_std_dependency_length,0.0012631578947368994,0.001031364102224543,syn
syn_obj_ratio,0.0012631578947368994,0.0010313641022245427,syn
lex_lemma_type_token_ratio,0.0012631578947368994,0.0031508693783359747,lex
syn_verb_ratio,0.001263157894736877,0.001684210526315827,syn
syn_nsubj_ratio,0.0008421052631579551,0.0016842105263158269,syn
pause_filled_per_100_words,0.0008421052631579551,0.001684210526315827,pause
syn_amod_ratio,0.00042105263157898865,0.0015754346891680112,syn
syn_advmod_ratio,0.00042105263157898865,0.0015754346891680112,syn
syn_part_ratio,0.00042105263157898865,0.0015754346891680112,syn
disc_semantic_drift,0.00042105263157898865,0.0024551376399348946,disc
syn_content_function_ratio,0.0004210526315789664,0.0008421052631579328,syn
syn_max_tree_depth,0.0004210526315789664,0.0008421052631579328,syn
len_syllables_per_second,0.0004210526315789664,0.0008421052631579328,len
pause_filled_count,0.0004210526315789664,0.0008421052631579328,pause
len_speech_duration,0.0004210526315789664,0.0008421052631579328,len
ac_egemaps_f0semitonefrom27_5hz_sma3nz_pctlrange0_2,0.0004210526315789664,0.0008421052631579328,ac
ac_mfcc_1_std,0.0004210526315789664,0.0008421052631579328,ac
pause_articulation_rate_words_per_speaking_second,0.0004210526315789664,0.0008421052631579328,pause
graph_self_loop_ratio,0.0004210526315789664,0.0008421052631579328,graph
len_tokens_per_second,0.0004210526315789664,0.0008421052631579328,len
pause_mean_duration,0.0004210526315789664,0.0008421052631579328,pause
syn_max_dependency_length,2.2204460492503132e-17,0.0013314853305972376,syn
ac_egemaps_hammarbergindexuv_sma3nz_amean,0.0,0.0,ac
ac_egemaps_spectralfluxv_sma3nz_stddevnorm,0.0,0.0,ac
ac_egemaps_alpharatiouv_sma3nz_amean,0.0,0.0,ac
ac_egemaps_loudnesspeakspersec,0.0,0.0,ac
ac_egemaps_f2bandwidth_sma3nz_stddevnorm,0.0,0.0,ac
ac_egemaps_slopev0_500_sma3nz_stddevnorm,0.0,0.0,ac
ac_egemaps_logrelf0_h1_h2_sma3nz_amean,0.0,0.0,ac
ac_egemaps_spectralflux_sma3_stddevnorm,0.0,0.0,ac
ac_egemaps_logrelf0_h1_h2_sma3nz_stddevnorm,0.0,0.0,ac
pause_total_duration,0.0,0.0,pause
ac_egemaps_slopev500_1500_sma3nz_amean,0.0,0.0,ac
ac_egemaps_loudness_sma3_pctlrange0_2,0.0,0.0,ac
ac_mfcc_5_std,0.0,0.0,ac
ac_egemaps_f2amplitudelogrelf0_sma3nz_amean,0.0,0.0,ac
ac_egemaps_loudness_sma3_stddevnorm,0.0,0.0,ac
ac_egemaps_voicedsegmentspersec,0.0,0.0,ac
disc_repeated_unigram_ratio,-0.000421052631578922,0.0027929471918782473,disc
graph_edge_count,-0.000421052631578922,0.001575434689167999,graph
syn_pronoun_noun_ratio,-0.000421052631578922,0.001575434689167999,syn
syn_obl_ratio,-0.000421052631578922,0.001575434689167999,syn
syn_clause_density,-0.000421052631578922,0.001575434689167999,syn
lex_mattr_10,-0.000421052631578922,0.0027929471918782473,lex
pause_speech_rate_words_per_second,-0.000421052631578922,0.002062728204449004,pause
syn_aux_ratio,-0.00042105263157894425,0.0008421052631578885,syn
ac_egemaps_stddevunvoicedsegmentlength,-0.00042105263157894425,0.0008421052631578884,ac
ac_egemaps_mfcc1v_sma3nz_stddevnorm,-0.00042105263157894425,0.0008421052631578884,ac
ac_egemaps_mfcc1_sma3_stddevnorm,-0.00042105263157894425,0.0008421052631578884,ac
ac_egemaps_f3amplitudelogrelf0_sma3nz_amean,-0.00042105263157894425,0.0008421052631578884,ac
ac_egemaps_jitterlocal_sma3nz_stddevnorm,-0.00042105263157894425,0.0008421052631578884,ac
syn_interjection_ratio,-0.0008421052631578663,0.001684210526315816,syn
lex_repetition_rate,-0.0008421052631578663,0.001684210526315816,lex
syn_adp_ratio,-0.0008421052631578663,0.003420647749320412,syn
disc_local_coherence,-0.0008421052631578885,0.0010313641022244883,disc
syn_num_ratio,-0.0012631578947367883,0.003904681471787686,syn
syn_propn_ratio,-0.0012631578947368105,0.003670651741928994,syn
lex_function_word_ratio,-0.0012631578947368328,0.0016842105263157768,lex
pause_iqr_duration,-0.0012631578947368328,0.0010313641022244883,pause
pause_to_speech_ratio,-0.0012631578947368328,0.0010313641022244883,pause
disc_mean_pairwise_utt_similarity,-0.0012631578947368328,0.0010313641022244883,disc
syn_mean_tree_depth,-0.001684210526315777,0.0020627282044489766,syn
pause_medium_count,-0.001684210526315777,0.0008421052631578884,pause
graph_node_count,-0.001684210526315777,0.0020627282044489766,graph
len_mean_utterance_length,-0.001684210526315777,0.0008421052631578884,len
len_std_utterance_length,-0.002105263157894699,0.00266297066119444,len
pause_silence_ratio,-0.002105263157894721,0.0,pause
len_syllable_count,-0.002105263157894721,0.0013314853305972025,len
len_token_count,-0.0025263157894736656,0.0015754346891679635,len
lex_brunet,-0.0025263157894736656,0.0015754346891679637,lex
syn_pronoun_ratio,-0.0029473684210526096,0.001684210526315777,syn
lex_mattr_20,-0.0029473684210526096,0.0010313641022244883,lex
syn_mean_utterance_length_words,-0.003368421052631554,0.0021469555846706304,syn
len_type_count,-0.004210526315789442,0.002662970661194405,len
lex_mean_token_length,-0.004631578947368364,0.0036220316913863834,lex
syn_mean_dependency_length,-0.004631578947368387,0.002455137639934845,syn
graph_density,-0.004631578947368387,0.002455137639934845,graph
len_tokens_per_utterance,-0.005052631578947331,0.0021469555846706304,len
